id,mission,disposition,label,orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_re,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_re,apparent_mag,ra,dec
8240109,Kepler,FALSE POSITIVE,0,2.30118753,7.8216,87537.0,140.23,2783.0,14194.09,7970.0,2.652,13.489,294.22354,44.135658
8240861,Kepler,FALSE POSITIVE,0,0.449249224,4.7565,419440.0,95.83,2941.0,17801.78,6338.0,1.299,15.282,294.47131,44.12344
9049010,Kepler,FALSE POSITIVE,0,0.687004402,3.829,93.7,2.89,3535.0,36888.8,6240.0,2.803,13.316,299.62277,45.364079
9083503,Kepler,FALSE POSITIVE,0,0.91839938,4.479,152.1,1.0,1558.0,1389.28,5222.0,0.795,15.908,289.73306,45.43795
9093566,Kepler,FALSE POSITIVE,0,0.94356284,5.721,13.4,0.76,3176.0,23945.42,7693.0,1.984,12.749,293.57108,45.413639
9098590,Kepler,FALSE POSITIVE,0,2.243569483,4.14769,66328.0,21.11,1364.0,817.05,6081.0,0.801,14.965,295.18893,45.40617
9098810,Kepler,FALSE POSITIVE,0,8.258181993,3.9122,311860.0,58.19,809.0,101.33,5306.0,0.888,13.448,295.26965,45.476009
9101208,Kepler,FALSE POSITIVE,0,1.81139053,8.64,77.5,14.47,1466.0,1092.69,5941.0,0.911,15.372,295.97623,45.440338
9944421,Kepler,FALSE POSITIVE,0,7.09520543,3.69044,232680.0,50.23,813.0,103.28,5481.0,0.778,15.137,288.6192,46.802971
9945280,Kepler,FALSE POSITIVE,0,0.651731691,2.4602,20524.0,71.9,2604.0,10815.86,5791.0,1.472,13.879,289.09744,46.811081
9953736,Kepler,FALSE POSITIVE,0,0.50818743,3.433,54.9,1.26,3274.0,27312.92,7141.0,1.56,13.313,292.85281,46.85136
9958053,Kepler,FALSE POSITIVE,0,2.73398963,1.52,,,,25373.9,,,11.727,294.62296,46.826469
9963009,Kepler,FALSE POSITIVE,0,40.069674617,9.3564,41865.0,27.38,588.0,28.2,5911.0,1.207,14.458,296.4682,46.85178
8545603,Kepler,FALSE POSITIVE,0,55.884827,2.283,497.6,2.11,438.0,8.7,5668.0,0.868,15.873,285.1973,44.64661
10976412,Kepler,FALSE POSITIVE,0,3.75938475,1.188,133.1,3.1,1677.0,1868.97,4976.0,2.638,12.917,292.2048,48.417881
10979716,Kepler,FALSE POSITIVE,0,10.6840477,3.515,81901.0,26.43,444.0,9.21,3887.0,0.523,15.774,293.79077,48.401421
10982373,Kepler,FALSE POSITIVE,0,2.00280845,1.22,,,,15763.18,,,11.696,294.90292,48.477211
10987439,Kepler,FALSE POSITIVE,0,10.67459836,3.82706,16676.0,68.58,1083.0,325.55,6496.0,1.485,10.81,296.82587,48.443378
10989032,Kepler,FALSE POSITIVE,0,2.305097141,1.9378,5880.0,89.22,2753.0,13581.41,8851.0,2.178,13.866,297.39349,48.410751
10991989,Kepler,FALSE POSITIVE,0,0.974477904,2.69834,8846.9,618.37,5205.0,172916.96,5210.0,15.004,10.282,298.52713,48.418591
10992733,Kepler,FALSE POSITIVE,0,18.525917446,5.9056,455660.0,64.42,618.0,34.58,5492.0,0.887,15.124,298.80557,48.471989
12356746,Kepler,FALSE POSITIVE,0,0.502454299,2.31547,37454.0,43.95,2336.0,7025.25,6134.0,0.901,13.532,291.27692,51.135712
12356914,Kepler,FALSE POSITIVE,0,27.308150159,4.43906,388000.0,47.06,523.0,17.75,5541.0,0.739,15.529,291.3735,51.153381
12365000,Kepler,FALSE POSITIVE,0,1.262742487,1.7433,15911.0,134.45,2548.0,9925.41,5273.0,3.15,13.573,295.32907,51.137798
12365015,Kepler,FALSE POSITIVE,0,0.59586463,1.5,,,,931.51,,,14.343,295.33847,51.105068
12367017,Kepler,FALSE POSITIVE,0,1.222127938,2.2613,2486.5,30.32,1470.0,1107.41,5157.0,0.87,14.73,296.23392,51.141869
12367310,Kepler,FALSE POSITIVE,0,8.627475562,4.65505,36784.0,188.55,1446.0,1031.92,5146.0,4.063,13.835,296.34995,51.12344
12403968,Kepler,FALSE POSITIVE,0,0.589753355,0.606,216.0,1.03,1760.0,2262.14,5414.0,0.678,15.832,289.33759,51.20903
12418662,Kepler,FALSE POSITIVE,0,2.751566365,5.2403,72609.0,42.98,1171.0,445.35,5461.0,0.861,15.311,296.38013,51.209721
12418816,Kepler,FALSE POSITIVE,0,0.760935268,2.77023,370600.0,35.68,1285.0,640.66,4675.0,0.511,12.402,296.44193,51.224319
9959492,Kepler,FALSE POSITIVE,0,1.33258772,5.187,70.8,1.13,1825.0,2625.26,5576.0,1.289,15.276,295.19968,46.832321
3558803,Kepler,FALSE POSITIVE,0,1.353414369,13.416,610.2,216.31,3617.0,40561.5,4850.0,8.586,12.318,294.94058,38.635689
3634169,Kepler,FALSE POSITIVE,0,2.9590637,28.81,23.6,0.65,1564.0,1415.74,6192.0,1.322,12.913,288.01553,38.709862
3644174,Kepler,FALSE POSITIVE,0,1.806631432,1.102,217.5,1.05,1059.0,297.98,4606.0,0.699,15.278,291.06226,38.787151
3655326,Kepler,FALSE POSITIVE,0,15.066491533,6.2852,106050.0,88.56,932.0,177.96,5751.0,1.626,14.213,293.92529,38.738979
3656322,Kepler,FALSE POSITIVE,0,1.831829703,7.289,40509.0,49.38,2078.0,4410.65,5269.0,2.183,13.061,294.16028,38.767429
3656700,Kepler,FALSE POSITIVE,0,0.738527259,1.2174,422.9,49.08,2978.0,18549.81,5869.0,2.313,12.997,294.25818,38.706928
3659940,Kepler,FALSE POSITIVE,0,0.89627093,2.2033,66994.0,43.47,1733.0,2129.33,5551.0,0.861,15.261,295.00464,38.775478
4949027,Kepler,FALSE POSITIVE,0,1.06100327,1.675,95.9,0.94,1793.0,2443.69,5966.0,0.961,15.14,297.88528,40.097321
4949214,Kepler,FALSE POSITIVE,0,0.922030594,4.367,13859.0,49.63,2194.0,5474.27,6484.0,1.153,14.351,297.93069,40.014961
4950341,Kepler,FALSE POSITIVE,0,611.09299,15.22,270.0,1.53,215.0,0.51,6032.0,0.929,13.604,298.16547,40.005249
4950557,Kepler,FALSE POSITIVE,0,24.714790706,5.06776,208730.0,112.24,901.0,155.67,6300.0,1.862,12.526,298.21442,40.0732
5000179,Kepler,FALSE POSITIVE,0,3.6329347,2.3,,,,10830.2,,,13.758,288.35828,40.17466
5017058,Kepler,FALSE POSITIVE,0,1.161947482,4.46886,129900.0,68.69,2174.0,5300.4,6225.0,1.457,13.14,293.53088,40.15049
5018787,Kepler,FALSE POSITIVE,0,0.607191908,1.30166,17369.0,12.44,1759.0,2251.28,5370.0,0.671,15.428,293.99124,40.18964
8345473,Kepler,FALSE POSITIVE,0,2.2502073,2.203,260.1,19.94,3637.0,41377.92,4507.0,12.787,11.946,282.18466,44.359459
5598639,Kepler,FALSE POSITIVE,0,0.648775795,4.34648,108820.0,41.58,1714.0,2038.54,5143.0,0.776,10.201,283.77744,40.842037
5610698,Kepler,FALSE POSITIVE,0,4.132521615,12.4949,156250.0,93.1,1628.0,1660.29,6567.0,1.636,13.894,288.92068,40.881302
5616489,Kepler,FALSE POSITIVE,0,410.88527,24.1,2059.6,200346.0,774.0,84.63,5015.0,18.489,12.962,290.72864,40.866501
5621294,Kepler,FALSE POSITIVE,0,0.938905082,5.00453,358890.0,205.64,4281.0,79148.54,8615.0,3.003,13.613,292.21927,40.89333
5621299,Kepler,FALSE POSITIVE,0,0.93891532,2.134,39.1,1.13,2667.0,11944.88,6534.0,1.797,13.91,292.22049,40.88567
5622250,Kepler,FALSE POSITIVE,0,16.294213708,6.01687,174010.0,68.05,929.0,176.22,6237.0,1.508,14.203,292.51321,40.82756
5632781,Kepler,FALSE POSITIVE,0,11.02520205,12.8097,429760.0,164.02,1294.0,663.18,6047.0,2.3,12.113,295.43829,40.843578
6594972,Kepler,FALSE POSITIVE,0,10.819169459,5.50262,437140.0,67.76,850.0,123.51,5955.0,0.991,14.342,288.29306,42.057369
6595662,Kepler,FALSE POSITIVE,0,2.680514453,3.21178,195750.0,48.86,1431.0,989.89,6038.0,1.076,14.746,288.53311,42.047619
6606282,Kepler,FALSE POSITIVE,0,1.053573674,1.70116,3063.0,299.87,4319.0,81969.77,5838.0,7.385,12.97,291.87244,42.030499
6606669,Kepler,FALSE POSITIVE,0,0.970085646,1.129,153.0,18.65,5119.0,162048.58,4555.0,15.63,12.026,291.99316,42.049259
6607610,Kepler,FALSE POSITIVE,0,63.52017525,17.1759,32548.0,77.1,745.0,72.92,4938.0,4.33,14.985,292.27612,42.037739
6610219,Kepler,FALSE POSITIVE,0,11.300987626,10.5199,325700.0,97.12,1019.0,254.84,6143.0,1.448,13.203,293.02563,42.001381
6610433,Kepler,FALSE POSITIVE,0,0.92098747,2.04,,,,27890.55,,,10.206,293.08749,42.024651
7368103,Kepler,FALSE POSITIVE,0,2.182515126,6.8413,114930.0,128.15,2703.0,12627.67,8051.0,2.347,13.419,293.41541,42.917259
7369523,Kepler,FALSE POSITIVE,0,2.659418888,6.98414,305230.0,61.52,1352.0,789.69,6156.0,0.932,14.905,293.8414,42.948139
7376982,Kepler,FALSE POSITIVE,0,2.31610674,3.347,33.6,0.7,1559.0,1393.98,6025.0,1.193,13.608,295.82541,42.941639
7381695,Kepler,FALSE POSITIVE,0,0.948683571,1.676,150.9,1.12,1665.0,1815.32,5576.0,0.852,15.8,296.93594,42.954231
7385387,Kepler,FALSE POSITIVE,0,1.65546056,3.52,125.1,0.9,1331.0,743.75,5438.0,0.82,15.876,297.7178,42.989311
7385478,Kepler,FALSE POSITIVE,0,1.655472351,5.09197,174200.0,125.25,2546.0,9914.08,6725.0,2.171,11.471,297.74109,42.99609
7421876,Kepler,FALSE POSITIVE,0,4.50279037,6.72,,,,1017.15,,,11.606,283.18817,43.01564
8243263,Kepler,FALSE POSITIVE,0,1.759276227,3.19585,32091.0,40.79,1861.0,2828.82,6656.0,1.232,12.984,295.22525,44.112679
8244295,Kepler,FALSE POSITIVE,0,1.09206792,1.646,105.9,0.74,1320.0,715.46,4856.0,0.728,15.924,295.54388,44.12537
8262223,Kepler,FALSE POSITIVE,0,1.613014741,4.39594,152120.0,157.33,3145.0,23173.2,7832.0,2.779,12.146,300.33246,44.144138
8265520,Kepler,FALSE POSITIVE,0,6.2089181,2.292,1664.0,9.2,1378.0,853.5,5548.0,2.113,16.984,301.21725,44.13343
8265990,Kepler,FALSE POSITIVE,0,0.77996263,3.369,25.7,0.83,2607.0,10919.82,6002.0,1.629,13.417,301.36261,44.173409
9119405,Kepler,FALSE POSITIVE,0,18.646323091,8.853,231000.0,213.31,1194.0,480.54,5786.0,3.478,13.729,300.89032,45.403431
9156957,Kepler,FALSE POSITIVE,0,3.6673005,3.373,144.9,0.62,627.0,36.42,3823.0,0.519,15.826,292.78583,45.585789
9159301,Kepler,FALSE POSITIVE,0,3.044771557,11.0593,487820.0,231.93,2816.0,14849.39,8199.0,3.163,12.146,293.69333,45.517021
9163674,Kepler,FALSE POSITIVE,0,0.773144492,4.05643,215960.0,107.13,2860.0,15791.97,6413.0,1.91,13.833,295.28845,45.518337
